# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of write_response_tb.sv was successful with warnings.
# 5 compiles, 0 failed with no errors.
vsim -gui work.write_response_tb
# vsim -gui work.write_response_tb 
# Start time: 17:44:12 on Mar 18,2020
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.axi4_lite_Defs(fast)
# Loading work.axi4_lite_if_sv_unit(fast)
# Loading work.write_response_tb_sv_unit(fast)
# Loading work.write_response_tb(fast)
# Loading work.axi4_lite_master_sv_unit(fast)
# Loading work.axi4_lite_master(fast)
# Loading work.axi4_lite_slave_sv_unit(fast)
# Loading work.axi4_lite_slave(fast)
run -all
# WRITE RESPONSE CHANNEL
# 
# Write followed by read to the same location
# 
#                    0 Time | ARESETN 0
# 			      Writing xxxxxxxx to   Address xxxxxxxx | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: BREADY_RESET: ASSERTION PASS => When ARESETN goes low BREADY becomes low
#    Time: 5 ns Started: 5 ns  Scope: write_response_tb.BREADY_RESET_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 108
# ** Info: BVALID_RESET: ASSERTION PASS => When ARESETN goes low BVALID becomes low
#    Time: 5 ns Started: 5 ns  Scope: write_response_tb.BVALID_RESET_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 98
#                    5 Time | ARESETN 1
# 			      Writing xxxxxxxx to   Address xxxxxxxx | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: BREADY_X: ASSERTION PASS => BREADY does not have X when ARESETN is high
#    Time: 15 ns Started: 15 ns  Scope: write_response_tb.BREADY_X_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 128
# ** Info: BVALID_X: ASSERTION PASS => BVALID does not have X when ARESETN is high
#    Time: 15 ns Started: 15 ns  Scope: write_response_tb.BVALID_X_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 118
#                   15 Time | ARESETN 1
# 			      Writing 1a2b3c4d to   Address 00000a9b | AWVALID 1 | AWREADY 0 | WVALID 1 | WREADY 0 | BVALID 0 | BREADY 1 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: BREADY_X: ASSERTION PASS => BREADY does not have X when ARESETN is high
#    Time: 25 ns Started: 25 ns  Scope: write_response_tb.BREADY_X_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 128
# ** Info: BVALID_X: ASSERTION PASS => BVALID does not have X when ARESETN is high
#    Time: 25 ns Started: 25 ns  Scope: write_response_tb.BVALID_X_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 118
#                   25 Time | ARESETN 1
# 			      Writing 1a2b3c4d to   Address 00000a9b | AWVALID 1 | AWREADY 1 | WVALID 1 | WREADY 1 | BVALID 0 | BREADY 1 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: BREADY_X: ASSERTION PASS => BREADY does not have X when ARESETN is high
#    Time: 35 ns Started: 35 ns  Scope: write_response_tb.BREADY_X_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 128
# ** Info: BVALID_X: ASSERTION PASS => BVALID does not have X when ARESETN is high
#    Time: 35 ns Started: 35 ns  Scope: write_response_tb.BVALID_X_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 118
#                   35 Time | ARESETN 1
# 			      Writing 1a2b3c4d to   Address 00000a9b | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 1 | BREADY 1 | Data in memory 1a2b3c4d
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: BVALID_STABLE: ASSERTION PASS => When BVALID is asserted, then it remains asserted until BREADY is high
#    Time: 45 ns Started: 45 ns  Scope: write_response_tb.BVALID_STABLE_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 138
# ** Info: BREADY_STABLE: ASSERTION PASS => When BREADY is asserted, then it remains asserted until BVALID is high
#    Time: 45 ns Started: 25 ns  Scope: write_response_tb.BREADY_STABLE_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 148
# ** Info: BREADY_X: ASSERTION PASS => BREADY does not have X when ARESETN is high
#    Time: 45 ns Started: 45 ns  Scope: write_response_tb.BREADY_X_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 128
# ** Info: BVALID_X: ASSERTION PASS => BVALID does not have X when ARESETN is high
#    Time: 45 ns Started: 45 ns  Scope: write_response_tb.BVALID_X_a File: N:/Desktop/AXI4_LITE/write_response_tb.sv Line: 118
#                   45 Time | ARESETN 1
# 			      Writing 1a2b3c4d to   Address 00000a9b | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 1a2b3c4d
