# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of Top.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.Top
# End time: 21:05:23 on Mar 18,2020, Elapsed time: 0:03:13
# Errors: 1142, Warnings: 0
# vsim -gui work.Top 
# Start time: 21:05:23 on Mar 18,2020
# ** Note: (vsim-3812) Design is being optimized...
# Loading sv_std.std
# Loading work.axi4_lite_Defs(fast)
# Loading work.axi4_lite_if_sv_unit(fast)
# Loading work.Top_sv_unit(fast)
# Loading work.Top(fast)
# Loading work.axi4_lite_master_sv_unit(fast)
# Loading work.axi4_lite_master(fast)
# Loading work.axi4_lite_slave_sv_unit(fast)
# Loading work.axi4_lite_slave(fast)
run -all
# 
# 
# Reading the default values in the first 20 locations of the memory
# 
#                   75	Input Read Address: 00000000 | Read Address(ARADDR): 00000000 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  125	Input Read Address: 00000001 | Read Address(ARADDR): 00000001 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  175	Input Read Address: 00000002 | Read Address(ARADDR): 00000002 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  225	Input Read Address: 00000003 | Read Address(ARADDR): 00000003 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  275	Input Read Address: 00000004 | Read Address(ARADDR): 00000004 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  325	Input Read Address: 00000005 | Read Address(ARADDR): 00000005 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  375	Input Read Address: 00000006 | Read Address(ARADDR): 00000006 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  425	Input Read Address: 00000007 | Read Address(ARADDR): 00000007 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  475	Input Read Address: 00000008 | Read Address(ARADDR): 00000008 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  525	Input Read Address: 00000009 | Read Address(ARADDR): 00000009 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  575	Input Read Address: 0000000a | Read Address(ARADDR): 0000000a | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  625	Input Read Address: 0000000b | Read Address(ARADDR): 0000000b | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  675	Input Read Address: 0000000c | Read Address(ARADDR): 0000000c | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  725	Input Read Address: 0000000d | Read Address(ARADDR): 0000000d | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  775	Input Read Address: 0000000e | Read Address(ARADDR): 0000000e | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  825	Input Read Address: 0000000f | Read Address(ARADDR): 0000000f | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  875	Input Read Address: 00000010 | Read Address(ARADDR): 00000010 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  925	Input Read Address: 00000011 | Read Address(ARADDR): 00000011 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                  975	Input Read Address: 00000012 | Read Address(ARADDR): 00000012 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
#                 1025	Input Read Address: 00000013 | Read Address(ARADDR): 00000013 | Default Read Data(RDATA): xxxxxxxx | Default data in memory array(mem): xxxxxxxx
# 
# 
# Write to a single location
# Input Write Address: 00000111 | Input Write Data: 00fa88f4 | Write Address(AWADDR): 00000111 | Write data(WDATA): 00fa88f4 | Data in memory array(mem): 00fa88f4
# 
# 
# Read from a single location
# Input Read Address: 00000111 | Read Address(AWADDR): 00000111 | Read data(RDATA): 00fa88f4 | Data in memory array(mem): 00fa88f4
# 
# 
# Write and read at the same time to different locations
# Input Write Address: 00000678 | Input Write Data: 00000001 | Write Address(AWADDR): 00000678 | Write data(WDATA): 00000001 | Data in memory array(mem): 00000001
# Input Read Address: 00000111 | Read Address(AWADDR): 00000111 | Read data(RDATA): 00fa88f4 | Data in memory array(mem): 00fa88f4
# 
# 
# write and read at the same time to same location and check if read and write data match
# Address: 00001111 | Write Data: 00000001 | Read Data: xxxxxxxx | Data Mismatch
# 
# 
# multiple writes followed by multiple reads to consecutive locations and check if the write and read data match
# Address: 00000001 | Write Data: 0000e29f | Read Data: 0000e29f | Data Match
# Address: 00000002 | Write Data: 00004f19 | Read Data: 00004f19 | Data Match
# Address: 00000003 | Write Data: 0000e242 | Read Data: 0000e242 | Data Match
# Address: 00000004 | Write Data: 00006be1 | Read Data: 00006be1 | Data Match
# Address: 00000005 | Write Data: 0000dc71 | Read Data: 0000dc71 | Data Match
# Address: 00000006 | Write Data: 000024c8 | Read Data: 000024c8 | Data Match
# Address: 00000007 | Write Data: 0000b397 | Read Data: 0000b397 | Data Match
# Address: 00000008 | Write Data: 000052c4 | Read Data: 000052c4 | Data Match
# Address: 00000009 | Write Data: 00007f64 | Read Data: 00007f64 | Data Match
# Address: 0000000a | Write Data: 00005fc4 | Read Data: 00005fc4 | Data Match
# 
# 
# multiple writes followed by multiple reads to random locations and check if the write and read data match
# Read Address: 000000a5 | Write Data: 00000001 | Read Data: 00000001 | Data Match
# Read Address: 00000ca8 | Write Data: 00000002 | Read Data: 00000002 | Data Match
# Read Address: 00000ce4 | Write Data: 00000003 | Read Data: 00000003 | Data Match
# Read Address: 00000e60 | Write Data: 00000004 | Read Data: 00000004 | Data Match
# Read Address: 0000037e | Write Data: 00000005 | Read Data: 00000005 | Data Match
# Read Address: 00000062 | Write Data: 00000006 | Read Data: 00000006 | Data Match
# Read Address: 00000e4e | Write Data: 00000007 | Read Data: 00000007 | Data Match
# Read Address: 000002d5 | Write Data: 00000008 | Read Data: 00000008 | Data Match
# Read Address: 00000f40 | Write Data: 00000009 | Read Data: 00000009 | Data Match
# Read Address: 000006af | Write Data: 0000000a | Read Data: 0000000a | Data Match
# 
# 
# multiple writes followed by a single read to the same location and check if the last data written and read data match
# Address: 000000af | Write Data: 0000000d | Read Data: 0000000d | Data Match
# 
# 
# multiple writes followed by a single read to the same location and check if the read data matches the write data all the time
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# Address: 00000123 | Write Data: 00000ddd | Read Data: 00000ddd | Data Match
# 
# 
# reset in middle of write
# Write Address 00000002, Write Data 00006ccc, mem xxxxxxxx
# 
# 
