# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of read_address_tb.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.read_address_tb
# End time: 17:16:31 on Mar 18,2020, Elapsed time: 0:00:53
# Errors: 847, Warnings: 0
# vsim -gui work.read_address_tb 
# Start time: 17:16:31 on Mar 18,2020
# ** Note: (vsim-8009) Loading existing optimized design _opt
# Loading sv_std.std
# Loading work.axi4_lite_Defs(fast)
# Loading work.axi4_lite_if_sv_unit(fast)
# Loading work.read_address_tb_sv_unit(fast)
# Loading work.read_address_tb(fast)
# Loading work.axi4_lite_master_sv_unit(fast)
# Loading work.axi4_lite_master(fast)
# Loading work.axi4_lite_slave_sv_unit(fast)
# Loading work.axi4_lite_slave(fast)
run -all
# READ ADDRESS CHANNEL
# 
# Write followed by read to the same location
# 
#                    0 Time | ARESETN 0
# 			      Writing xxxxxxxx to   Address xxxxxxxx | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: ARVALID_RESET: ASSERTION PASS => When ARESETN goes low ARVALID becomes low
#    Time: 5 ns Started: 5 ns  Scope: read_address_tb.ARVALID_RESET_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 118
# ** Info: ARREADY_RESET: ASSERTION PASS => When ARESETN goes low ARREADY becomes low
#    Time: 5 ns Started: 5 ns  Scope: read_address_tb.ARREADY_RESET_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 128
#                    5 Time | ARESETN 1
# 			      Writing xxxxxxxx to   Address xxxxxxxx | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 15 ns Started: 15 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 15 ns Started: 15 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                   15 Time | ARESETN 1
# 			      Writing 12345678 to   Address 00000abc | AWVALID 1 | AWREADY 0 | WVALID 1 | WREADY 0 | BVALID 0 | BREADY 1 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 25 ns Started: 25 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 25 ns Started: 25 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                   25 Time | ARESETN 1
# 			      Writing 12345678 to   Address 00000abc | AWVALID 1 | AWREADY 1 | WVALID 1 | WREADY 1 | BVALID 0 | BREADY 1 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 35 ns Started: 35 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 35 ns Started: 35 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                   35 Time | ARESETN 1
# 			      Writing 12345678 to   Address 00000abc | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 1 | BREADY 1 | Data in memory 12345678
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 45 ns Started: 45 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 45 ns Started: 45 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                   45 Time | ARESETN 1
# 			      Writing 12345678 to   Address 00000abc | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 12345678
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 55 ns Started: 55 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 55 ns Started: 55 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 65 ns Started: 65 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 65 ns Started: 65 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 75 ns Started: 75 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 75 ns Started: 75 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                   75 Time | ARESETN 1
# 			      Writing 12345678 to   Address 00000abc | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 12345678
# 			      Reading xxxxxxxx from Address 00000abc | ARVALID 1 | ARREADY 0 | RVALID 0 | RREADY 1
# 
# ** Info: ARADDR_X: ASSERTION PASS => ARADDR does not have X when ARVALID is high
#    Time: 85 ns Started: 85 ns  Scope: read_address_tb.ARADDR_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 108
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 85 ns Started: 85 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 85 ns Started: 85 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                   85 Time | ARESETN 1
# 			      Writing 12345678 to   Address 00000abc | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 12345678
# 			      Reading xxxxxxxx from Address 00000abc | ARVALID 1 | ARREADY 1 | RVALID 0 | RREADY 1
# 
# ** Info: READ_ADDRESS: ASSERTION PASS => Read Address has been received successfully by the slave
#    Time: 95 ns Started: 95 ns  Scope: read_address_tb.READ_ADDRESS_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 177
# ** Info: ARREADY_STABLE: ASSERTION PASS => When ARREADY is asserted, then it remains asserted until ARVALID is high
#    Time: 95 ns Started: 95 ns  Scope: read_address_tb.ARREADY_STABLE_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 148
# ** Info: ARVALID_STABLE: ASSERTION PASS => When ARVALID is asserted, then it remains asserted until ARREADY is high
#    Time: 95 ns Started: 85 ns  Scope: read_address_tb.ARVALID_STABLE_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 138
# ** Info: ARADDR_X: ASSERTION PASS => ARADDR does not have X when ARVALID is high
#    Time: 95 ns Started: 95 ns  Scope: read_address_tb.ARADDR_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 108
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 95 ns Started: 95 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 95 ns Started: 95 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                   95 Time | ARESETN 1
# 			      Writing 12345678 to   Address 00000abc | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 12345678
# 			      Reading 12345678 from Address 00000abc | ARVALID 0 | ARREADY 0 | RVALID 1 | RREADY 1
# 
# ** Info: ARADDR_STABLE: ASSERTION PASS | When ARVALID is asserted, ARADDR remains stable until ARVALID and ARREADY become low
#    Time: 105 ns Started: 85 ns  Scope: read_address_tb.ARADDR_STABLE_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 98
# ** Info: ARREADY_X: ASSERTION PASS => ARREADY does not have X when ARESETN is high
#    Time: 105 ns Started: 105 ns  Scope: read_address_tb.ARREADY_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 167
# ** Info: ARVALID_X: ASSERTION PASS => ARVALID does not have X when ARESETN is high
#    Time: 105 ns Started: 105 ns  Scope: read_address_tb.ARVALID_X_a File: N:/Desktop/AXI4_LITE/read_address_tb.sv Line: 158
#                  105 Time | ARESETN 1
# 			      Writing 12345678 to   Address 00000abc | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 12345678
