# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of write_address_tb.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.write_address_tb
# vsim -gui work.write_address_tb 
# Start time: 17:25:58 on Mar 18,2020
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.axi4_lite_Defs(fast)
# Loading work.axi4_lite_if_sv_unit(fast)
# Loading work.write_address_tb_sv_unit(fast)
# Loading work.write_address_tb(fast)
# Loading work.axi4_lite_master_sv_unit(fast)
# Loading work.axi4_lite_master(fast)
# Loading work.axi4_lite_slave_sv_unit(fast)
# Loading work.axi4_lite_slave(fast)
run -all
# WRITE ADDRESS CHANNEL
# 
# Write followed by read to the same location
# 
#                    0 Time | ARESETN 0
# 			      Writing xxxxxxxx to   Address xxxxxxxx | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: AWVALID_RESET: ASSERTION PASS => When ARESETN goes low AWVALID becomes low
#    Time: 5 ns Started: 5 ns  Scope: write_address_tb.AWVALID_RESET_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 116
# ** Info: AWREADY_RESET: ASSERTION PASS => When ARESETN goes low AWREADY becomes low
#    Time: 5 ns Started: 5 ns  Scope: write_address_tb.AWREADY_RESET_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 126
#                    5 Time | ARESETN 1
# 			      Writing xxxxxxxx to   Address xxxxxxxx | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 15 ns Started: 15 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 15 ns Started: 15 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                   15 Time | ARESETN 1
# 			      Writing 24681357 to   Address 00000246 | AWVALID 1 | AWREADY 0 | WVALID 1 | WREADY 0 | BVALID 0 | BREADY 1 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: AWADDR_X: ASSERTION PASS => AWADDR does not have X when AWVALID is high
#    Time: 25 ns Started: 25 ns  Scope: write_address_tb.AWADDR_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 106
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 25 ns Started: 25 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 25 ns Started: 25 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                   25 Time | ARESETN 1
# 			      Writing 24681357 to   Address 00000246 | AWVALID 1 | AWREADY 1 | WVALID 1 | WREADY 1 | BVALID 0 | BREADY 1 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: WRITE_ADDRESS: ASSERTION PASS => Write Address has been received successfully by the slave
#    Time: 35 ns Started: 35 ns  Scope: write_address_tb.WRITE_ADDRESS_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 176
# ** Info: AWREADY_STABLE: ASSERTION PASS => When AWREADY is asserted, then it remains asserted until AWVALID is high
#    Time: 35 ns Started: 35 ns  Scope: write_address_tb.AWREADY_STABLE_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 146
# ** Info: AWVALID_STABLE: ASSERTION PASS => When AWVALID is asserted, then it remains asserted until AWREADY is high
#    Time: 35 ns Started: 25 ns  Scope: write_address_tb.AWVALID_STABLE_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 136
# ** Info: AWADDR_X: ASSERTION PASS => AWADDR does not have X when AWVALID is high
#    Time: 35 ns Started: 35 ns  Scope: write_address_tb.AWADDR_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 106
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 35 ns Started: 35 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 35 ns Started: 35 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                   35 Time | ARESETN 1
# 			      Writing 24681357 to   Address 00000246 | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 1 | BREADY 1 | Data in memory 24681357
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: AWADDR_STABLE: ASSERTION PASS => When AWVALID is asserted, AWADDR remains stable until AWVALID and AWREADY become low
#    Time: 45 ns Started: 25 ns  Scope: write_address_tb.AWADDR_STABLE_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 96
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 45 ns Started: 45 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 45 ns Started: 45 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                   45 Time | ARESETN 1
# 			      Writing 24681357 to   Address 00000246 | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 24681357
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 55 ns Started: 55 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 55 ns Started: 55 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 65 ns Started: 65 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 65 ns Started: 65 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 75 ns Started: 75 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 75 ns Started: 75 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                   75 Time | ARESETN 1
# 			      Writing 24681357 to   Address 00000246 | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 24681357
# 			      Reading xxxxxxxx from Address 00000246 | ARVALID 1 | ARREADY 0 | RVALID 0 | RREADY 1
# 
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 85 ns Started: 85 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 85 ns Started: 85 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                   85 Time | ARESETN 1
# 			      Writing 24681357 to   Address 00000246 | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 24681357
# 			      Reading xxxxxxxx from Address 00000246 | ARVALID 1 | ARREADY 1 | RVALID 0 | RREADY 1
# 
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 95 ns Started: 95 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 95 ns Started: 95 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                   95 Time | ARESETN 1
# 			      Writing 24681357 to   Address 00000246 | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 24681357
# 			      Reading 24681357 from Address 00000246 | ARVALID 0 | ARREADY 0 | RVALID 1 | RREADY 1
# 
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 105 ns Started: 105 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 105 ns Started: 105 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                  105 Time | ARESETN 1
# 			      Writing 24681357 to   Address 00000246 | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 24681357
# 			      Reading 24681357 from Address 00000246 | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: AWREADY_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 115 ns Started: 115 ns  Scope: write_address_tb.AWREADY_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 166
# ** Info: AWVALID_X: ASSERTION PASS => AWVALID does not have X when ARESETN is high
#    Time: 115 ns Started: 115 ns  Scope: write_address_tb.AWVALID_X_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 156
#                  115 Time | ARESETN 0
# 			      Writing 24681357 to   Address 00000246 | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory 24681357
# 			      Reading 24681357 from Address 00000246 | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: AWREADY_RESET: ASSERTION PASS => When ARESETN goes low AWREADY becomes low
#    Time: 125 ns Started: 125 ns  Scope: write_address_tb.AWREADY_RESET_a File: N:/Desktop/AXI4_LITE/write_address_tb.sv Line: 126
