# Compile of axi4_lite_Defs.sv was successful.
# Compile of axi4_lite_if.sv was successful.
# Compile of axi4_lite_master.sv was successful.
# Compile of axi4_lite_slave.sv was successful.
# Compile of read_data_tb.sv was successful.
# 5 compiles, 0 failed with no errors.
vsim -gui work.read_data_tb
# End time: 17:23:37 on Mar 18,2020, Elapsed time: 0:02:34
# Errors: 855, Warnings: 0
# vsim -gui work.read_data_tb 
# Start time: 17:23:37 on Mar 18,2020
# ** Note: (vsim-3813) Design is being optimized due to module recompilation...
# Loading sv_std.std
# Loading work.axi4_lite_Defs(fast)
# Loading work.axi4_lite_if_sv_unit(fast)
# Loading work.read_data_tb_sv_unit(fast)
# Loading work.read_data_tb(fast)
# Loading work.axi4_lite_master_sv_unit(fast)
# Loading work.axi4_lite_master(fast)
# Loading work.axi4_lite_slave_sv_unit(fast)
# Loading work.axi4_lite_slave(fast)
run -all
# READ DATA CHANNEL
# 
# Write followed by read to the same location
# 
#                    0 Time | ARESETN 0
# 			      Writing xxxxxxxx to   Address xxxxxxxx | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: RVALID_RESET: ASSERTION PASS => When ARESETN goes low RVALID becomes low
#    Time: 5 ns Started: 5 ns  Scope: read_data_tb.RVALID_RESET_a File: N:/Desktop/AXI4_LITE/read_data_tb.sv Line: 116
# ** Info: RREADY_RESET: ASSERTION PASS => When ARESETN goes low RREADY becomes low
#    Time: 5 ns Started: 5 ns  Scope: read_data_tb.RREADY_RESET_a File: N:/Desktop/AXI4_LITE/read_data_tb.sv Line: 126
#                    5 Time | ARESETN 1
# 			      Writing xxxxxxxx to   Address xxxxxxxx | AWVALID 0 | AWREADY 0 | WVALID 0 | WREADY 0 | BVALID 0 | BREADY 0 | Data in memory xxxxxxxx
# 			      Reading xxxxxxxx from Address xxxxxxxx | ARVALID 0 | ARREADY 0 | RVALID 0 | RREADY 0
# 
# ** Info: RREADY_X: ASSERTION PASS => RREADY does not have X when ARESETN is high
#    Time: 15 ns Started: 15 ns  Scope: read_data_tb.RREADY_X_a File: N:/Desktop/AXI4_LITE/read_data_tb.sv Line: 166
# ** Info: RVALID_X: ASSERTION PASS => RVALID does not have X when ARESETN is high
#    Time: 15 ns Started: 15 ns  Scope: read_data_tb.RVALID_X_a File: N:/Desktop/AXI4_LITE/read_data_tb.sv Line: 156
#                   15 Time | ARESETN 1
